名称,评价数量,地址,评分,人均消费,口味评分,环境评分,服务评分
顺德了能馆(虎门店),1157,4.3,209,4.4,4.6,4.3,虎门镇长堤路1号(东宝石材城旁)
永利饭店(新塘一路店),3675,4.0,40,4.1,3.8,3.9,新塘村新塘一路26号
训民正饮(东城万达店),3277,4.5,61,4.5,4.3,4.5,世博北路万达广场室外步行街2栋12号
豆腐村韩国料理(厚街店),1173,4.5,65,4.6,4.4,4.5,东横街3号康帝酒店对面（一米阳光公寓后面）
CAMILLElife 卡蜜拉的生活(大朗店),2084,4.7,85,4.8,4.8,4.8,松佛路88号云慧创谷F栋102(红美针织隔壁)
皮记海鲜1995(寮步店),2409,4.7,96,4.8,4.7,4.7,寮步碧园路5号2号铺
李先生咖啡(厚街店),1092,4.4,40,4.4,4.5,4.3,西元路10号西门五巷28号（大明塘市场北）
绿茶餐厅(国贸中心店),6497,4.4,62,4.5,4.6,4.5,鸿福东路1号民盈国贸城5号楼4层L4005-L4006号商铺
稻香酒家·33年老字号·港式粤菜(第一国际店),8575,4.1,78,4.1,4.5,4.1,元美东路200号第一国际财富中心E座4楼
伊犁之春(酒吧街店),617,4.6,85,4.6,4.6,4.6,东城东路新世界花园商业街1023号（酒吧街）
古早之日(新世界广场B区店),1177,4.5,50,4.5,4.5,4.5,东城南路新世界广场2栋120室
泰好味(国贸店),5250,4.2,86,4.2,4.4,4.3,鸿福东路1号民盈·国贸中心四楼
Pauly’skitchen地中海西餐厅(新世界广场B区店),612,4.3,223,4.2,4.4,4.3,东城南路新世界花园广场B区1018号
UNO·一弄·家庭料理与咖啡,780,4.1,46,4.1,4.4,4.3,工农路工农8号艺术展览中心4号门10号楼
东馆和天下特色餐饮(工农店),778,4.4,87,4.4,4.5,4.3,工农路工农8号园区20栋
